MirBase Name	BR:BT_549	BR:HS578T	BR:MCF7	BR:MDA_MB_231	BR:T47D	CNS:SF_268	CNS:SF_295	CNS:SF_539	CNS:SNB_19	CNS:SNB_75	CNS:U251	CO:COLO205	CO:HCC_2998	CO:HCT_116	CO:HCT_15	CO:HT29	CO:KM12	CO:SW_620	LE:CCRF_CEM	LE:HL_60	LE:K_562	LE:MOLT_4	LE:RPMI_8226	LE:SR	ME:LOXIMVI	ME:M14	ME:MALME_3M	ME:SK_MEL_2	ME:SK_MEL_28	ME:SK_MEL_5	ME:UACC_257	ME:UACC_62	LC:A549	LC:EKVX	LC:NCI_H226	LC:NCI_H23	LC:NCI_H322M	LC:NCI_H460	LC:NCI_H522	LC:HOP_62	LC:HOP_92	OV:IGROV1	OV:OVCAR_3	OV:OVCAR_4	OV:OVCAR_5	OV:OVCAR_8	OV:SK_OV_3	PR:DU_145	PR:PC_3	RE:786_0	RE:A498	RE:ACHN	RE:CAKI_1	RE:RXF_393	RE:SN12C	RE:TK_10	RE:UO_31
hsa-mir-572	-0.613	-3.933	-3.658	-3.161	-3.366	-1.738	-2.174	-2.398	-3.325	-3.34	-2.453	-2.536	-1.919	-2.877	-2.907	-4.116	-3.105	-2.652	0.588	-1.604	-1.38	-3.146	0.182	-1.496	-1.209	-2.085	-3.345	-3.673	-2.607	-3.213	-3.36	-2.611	-2.891	-3.168	-2.548	-3.916	-4.285	-1.292	-3.903	-3.497	-3.078	-2.793	-3.07	-3.454	-3.785	-1.416	-3.045	-2.445	-3.366	-3.624	-2.894	-1.462	-2.56	-3.496	-2.329	-3.162	-2.193
hsa-mir-218-1	-0.46	-1.957	-2.137	-1.124	-3.412	-1.677	-1.669	-3.671	-3.243	0.081	-0.805	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.98	-3.345	-3.395	-2.607	-3.213	-3.36	-4.655	-1.525	-0.762	-0.665	-3.916	-1.06	-3.176	-1.558	0.258	-1.913	-4.028	-0.15	0.63	-3.785	-3.661	-1.121	-4.34	-1.381	-3.624	-2.894	-1.945	-1.913	-3.496	-1.916	-3.162	-3.998
hsa-mir-574	0.683	-0.005	-0.397	0.561	-0.067	0.43	0.802	0.287	-0.254	0.244	-0.166	-0.169	0.721	0.024	0.059	-0.881	-0.461	-0.098	1.922	0.74	-0.312	-1.038	0.887	0.337	-0.626	0.288	0.654	0.443	0.067	0.268	-0.03	0.391	0	0.03	-0.317	0.879	0.32	0.177	-1.382	0.085	-0.004	0.091	-0.927	-1.059	-0.436	0.816	-0.465	-0.03	-0.36	0.326	0.482	0.656	0.104	0.191	0.496	-0.719	0.251
hsa-mir-575	1.451	-0.553	0.075	0.122	-0.095	0.874	1.45	-0.211	-0.772	0.029	1.379	0.219	0.555	0.947	0.971	-0.984	-0.422	1.248	2.051	1.84	0.176	0.445	2.477	0.921	2.161	1.514	-1.354	-1	-0.638	-0.24	-0.99	1.647	-0.017	-0.872	0.634	-0.902	-1.469	1.882	-1.427	-0.535	-0.258	1.988	0.008	0.488	-0.749	1.645	0.369	1.603	-0.522	-0.258	0.189	2.07	1.85	-0.546	1.532	0.123	2.143
hsa-mir-887	-2.753	-3.493	-4.002	-3.529	-3.412	-2.936	-3.093	-3.862	-4.233	-3.698	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-1.872	-3.167	-1.38	-3.201	-2.894	-2.26	-3.288	-3.98	-3.345	-3.673	-2.607	-1.933	-2.036	-3.561	-2.891	-4.328	-3.57	-3.916	-4.285	-3.176	-3.779	-3.497	-3.606	-4.028	-3.07	-3.454	-3.785	-3.592	-3.045	-4.34	-3.366	-3.624	-2.894	-3.703	-4.513	-3.496	-4.521	-3.162	-3.998
hsa-mir-582	-3.802	-4.41	-4.002	-3.529	-3.412	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.251	-4.388	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.98	-3.345	-3.673	-2.607	-3.213	-3.36	-4.655	-2.891	-3.115	-4.374	-3.916	-4.285	-3.176	-3.903	-3.497	-3.606	-4.028	-3.07	-3.454	-3.785	-3.661	-3.045	-4.34	-3.366	-3.624	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-mir-9-2	-3.802	-4.41	-3.082	-3.529	-3.412	-1.032	2.881	-3.862	-1.942	4.445	2.409	-3.647	0.074	-0.607	-3.453	-4.116	-3.687	0.004	-1.147	-2.224	-1.38	-2.946	-1.892	-0.96	-4.257	-1.011	-3.345	0.111	-0.83	-1.422	-0.591	-3.025	-2.891	-2.484	-4.374	-1.269	2.93	0.103	-1.234	-3.164	-3.606	-4.028	-3.07	-3.454	-3.785	-0.985	-3.045	-3.019	0.991	-2.512	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-mir-886	-3.802	-4.41	-4.002	4.176	-3.412	-3.639	4.893	3.996	3.088	4.679	3.322	0.701	2.091	4.082	6.688	3.949	2.264	4.184	0.07	-3.167	6.749	-3.038	4.988	6.958	-4.257	-0.2	-2.829	2.801	5.117	2.587	5.804	4.883	4.008	2.62	3.898	-3.916	-4.285	5.089	-3.903	-3.497	5.654	-4.028	5.901	-3.454	6.487	-3.661	3.91	5.029	-3.366	5.223	5.388	6.63	4.372	6.404	4.277	5.282	5.99
hsa-mir-874	-0.255	-3.148	-2.723	-2.331	-2.474	-1.18	-1.239	-1.9	-2.235	-1.922	-1.305	-1.029	-1.037	-1.448	-1.912	-2.422	-2.307	-1.956	0.962	-0.895	-1.38	-1.529	-1.751	-1.028	0.723	-1.203	-2.472	-2.402	-2.507	-1.075	-2.26	-0.602	-2.311	-2.132	-1.259	-2.377	-3.385	-0.28	-3.594	-1.922	-1.44	-1.28	-1.709	-3.101	-2.329	-0.546	-2.721	-1.173	-2.254	-3.624	-2.317	0.428	-0.863	-2.938	-1.189	-2.105	-0.561
hsa-mir-584	-3.095	-3.216	-4.002	-0.427	-3.412	-3.263	-3.093	-3.862	-3.477	-3.352	-3.202	-1.644	-3.421	-2.283	-3.453	-2.67	-3.687	-3.307	-2.77	-3.167	-1.38	-3.201	-2.905	-2.26	-2.24	-0.167	-1.673	-0.707	-0.501	-1.236	-1.087	-0.794	-2.891	-3.216	-4.267	-3.916	-4.285	-2.781	-3.903	-3.497	-0.846	-2.022	-3.07	-3.454	-3.125	-2.832	-2.978	-2.922	-1.331	-3.624	-2.894	-3.151	-3.562	-3.496	-3.058	-3.162	-3.749
hsa-mir-145	-3.802	3.668	-4.002	-3.529	-3.412	-3.639	-3.093	2.539	1.473	-3.698	-3.202	-3.647	-3.615	-0.323	-3.453	-4.116	-3.687	-4.388	-3.545	-3.167	-1.38	-3.201	-2.905	-1.166	-4.257	-3.98	-3.345	-3.673	-2.607	-3.213	-2.816	-0.838	-2.891	-1.324	-4.374	-3.916	-4.285	-3.176	-3.903	-3.497	-3.606	-3.807	-3.07	-0.141	-3.785	-3.661	-3.045	-4.34	-3.366	-3.624	-2.894	-3.962	-4.513	-3.496	-2.871	-3.162	-3.998
hsa-mir-378	-3.802	-4.41	-3.32	-3.529	-3.412	-3.639	-3.093	-3.809	-4.306	-3.698	-3.202	-3.647	-2.319	-3.398	-2.875	-4.116	-2.082	-4.388	-2.613	-0.604	0.663	-1.007	-2.619	-2.26	-3.336	-2.419	-2.709	-3.409	-1.959	-2.454	-2.588	-3.003	-2.891	-4.328	-2.899	-3.433	-4.285	-2.875	-3.226	-3.497	-3.263	-2.73	-1.017	-2.218	-3.118	-3.639	-2.804	-4.34	-1.412	-3.581	-2.894	-3.962	-4.513	-3.209	-4.549	-2.715	-3.998
hsa-mir-146a	0.17	0.663	-4.002	1.12	-3.412	-3.639	0.417	-3.6	-0.514	-3.698	-3.202	1.868	-3.615	-3.398	-3.453	-4.116	-3.687	-4.102	-3.519	0.616	-1.38	-3.201	-0.275	-2.26	4.214	4.345	4.364	5.067	4.397	4.797	4.496	3.125	-2.891	-4.328	-4.374	-2.827	-4.285	-3.176	-3.903	-2.151	1.701	0.072	-2.649	-3.454	0.249	-3.661	-3.045	-4.34	-3.366	-0.981	-2.7	-3.962	0.805	1.08	-2.737	0.243	2.976
hsa-mir-103-1	3	2.783	4.158	4.006	4.87	3.487	2.146	3.27	2.879	2.982	2.67	4.349	3.024	3.224	3.499	3.723	3.709	3.298	3.847	3.948	3.131	5.036	4.022	4.16	3.317	2.886	3.339	4.308	4.046	3.697	4.138	2.885	3.467	2.896	2.996	4.142	3.961	2.819	4.031	4.007	2.401	3.346	3.796	4.411	4.14	3.05	4.886	2.47	3.852	3.668	2.544	1.457	1.957	3.692	1.678	3.747	2.752
hsa-mir-218-2	-0.46	-1.957	-2.137	-1.124	-3.412	-1.677	-1.669	-3.671	-3.243	0.081	-0.805	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.98	-3.345	-3.395	-2.607	-3.213	-3.36	-4.655	-1.525	-0.762	-0.665	-3.916	-1.06	-3.176	-1.558	0.258	-1.913	-4.028	-0.15	0.63	-3.785	-3.661	-1.121	-4.34	-1.381	-3.624	-2.894	-1.945	-1.913	-3.496	-1.916	-3.162	-3.998
hsa-mir-340	-3.802	-4.404	-2.604	-3.423	-2.357	-3.371	-3.093	-3.862	-4.287	-3.04	-3.202	-3.647	-3.615	-3.346	-3.453	-4.116	-3.687	-3.873	-3.545	-1.527	-1.334	-2.862	-2.905	-2.26	-4.257	-2.091	-3.217	-2.447	-2.299	-2.508	-3.052	-3.134	-2.803	-3.582	-4.374	-2.67	-3.273	-3.176	-1.541	-3.474	-3.606	-3.295	-2.627	-1.761	-3.785	-2.915	-3.045	-4.34	-3.366	-3.561	-2.894	-3.962	-4.259	-3.496	-4.292	-3.162	-3.998
hsa-mir-877	-2.724	-4.41	-3.851	-3.529	-3.412	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-3.647	-3.422	-3.398	-3.453	-4.116	-3.687	-4.388	-1.975	-3.167	-1.38	-3.201	-2.23	-2.26	-1.386	-3.98	-3.345	-3.673	-2.607	-3.213	-3.36	-3.422	-2.891	-4.328	-4.374	-3.916	-4.285	-3.176	-3.903	-3.497	-3.606	-3.582	-3.07	-3.454	-3.785	-3.244	-3.045	-4.261	-3.366	-3.624	-2.894	-2.828	-4.144	-3.496	-4.549	-3.162	-3.023
hsa-mir-219-1	-3.802	-2.712	0.001	-1.864	-0.404	-3.639	-1.424	-2.369	-2.935	-3.182	-3.202	-2.776	-1.799	-0.757	-2.348	-1.934	-1.781	-1.976	-2.588	-2.871	-1.025	-0.263	-0.831	-1.743	-2.119	-1.804	-2.576	-3.4	-2.607	-3.213	-2.524	-3.849	-1.837	-1.223	-2.351	-1.344	-3.566	-1.502	-0.652	-1.873	-1.97	-2.278	-3.07	-2.066	-2.376	-2.178	-0.785	-2.961	-2.02	-2.135	-2.894	-1.274	-3.364	-2.606	-1.3	-2.425	-2.874
hsa-mir-30c-2	-2.913	-4.41	-4.002	-1.618	-3.316	-3.504	-3.093	-3.862	-4.046	-2.066	-2.754	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-3.226	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.98	-3.345	-3.673	-2.607	-3.213	-3.192	-4.114	-2.891	-3.135	-3.595	-2.973	-2.935	-3.176	-1.262	-1.471	-2.277	-0.936	-2.592	-1.384	-3.079	-2.321	-0.404	-4.34	-3.366	-2.368	-2.111	-0.723	-1.495	-2.745	-2.671	-0.478	-1.47
hsa-mir-30a	-0.955	-2.374	-1.996	1.099	-0.679	-0.936	-1.957	-1.74	-1.275	0.489	-0.526	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-2.469	-3.702	-2.223	-2.05	-2.385	-2.733	-1.099	-2.194	-0.518	-0.672	-0.676	-0.971	-0.328	-2.62	1.525	1.065	0.236	1.681	0.306	1.233	-0.386	-0.021	2.393	-2.68	-3.366	0.325	0.227	1.444	0.808	-0.521	-0.284	1.972	1.044
hsa-mir-339	-3.08	-4.298	-2.501	-3.529	-2.676	-3.361	-3.093	-2.988	-3.829	-3.215	-1.825	-3.498	-3.423	-3.398	-3.453	-3.491	-3.426	-3.794	-3.232	-2.271	-1.38	-3.201	-2.366	-2.26	-4.101	-3.722	-3.345	-3.673	-2.607	-3.213	-3.36	-4.18	-2.891	-4.036	-3.233	-2.959	-3.688	-3.176	-3.903	-3.497	-3.39	-3.47	-3.07	-3.454	-3.606	-3.304	-3.045	-4.097	-3.295	-3.489	-2.894	-3.87	-4.513	-3.496	-3.406	-3.062	-3.768
hsa-mir-148a	-3.802	-4.41	2.307	-0.145	2.958	0.679	-3.093	1.891	0.714	-2.042	0.057	2.61	0.318	0.249	2.586	-4.116	0.391	1.051	0.406	3.157	1.042	4.114	3.77	2.134	-4.257	0.186	1.759	1.941	2.33	2.332	2.382	2.023	-2.891	-4.328	1.444	-0.84	0.059	-0.67	-3.894	-0.049	-3.606	-0.771	-0.476	0.643	-0.473	-1.471	-1.304	-0.284	-3.366	-2.378	0.908	-1.025	-1.134	-1.877	-4.549	-2.07	-0.832
hsa-mir-196b	-1.9	-0.467	-3.086	-3.529	-1.211	-1.866	-1.82	0.024	-1.152	-3.698	-1.579	-0.32	-3.423	0.187	-0.795	0.64	0.705	1.11	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-3.094	-2.256	-2.797	-3.673	-2.607	-3.213	-1.641	-2.104	-1.43	-0.515	-3.682	-3.666	-3.731	0.219	-3.903	-1.5	-1.876	-4.028	0.677	-1.742	-1.294	-1.719	-1.05	-0.474	1.32	2.585	2.779	2.062	0.242	1.182	-2.982	2.063	1.398
hsa-mir-550-1	-2.655	-2.472	-1.902	-2.298	-2.432	-1.937	-2.691	-1.795	-2.501	-0.799	-1.593	-2.853	-1.927	-2.209	-2.04	-1.716	-1.937	-1.267	-2.525	-0.799	0.693	-1.268	-1.913	-	-3.341	-2.334	-1.884	-1.282	-1.508	-0.63	-1.716	-2.858	-0.165	-1.288	-3.657	-2.134	-2.049	-1.199	-0.364	-2.534	-1.369	-2.939	-1.45	-2.065	-1.781	-3.661	-1.988	-2.466	-2.024	-0.807	-0.969	-2.119	-4.008	-1.673	-2.462	-0.811	-3.049
hsa-mir-550-2	-2.655	-2.472	-1.902	-2.298	-2.432	-1.937	-2.691	-1.795	-2.501	-0.799	-1.593	-2.853	-1.927	-2.209	-2.04	-1.716	-1.937	-1.267	-2.525	-0.799	0.693	-1.268	-1.913	-	-3.341	-2.334	-1.884	-1.282	-1.508	-0.63	-1.716	-2.858	-0.165	-1.288	-3.657	-2.134	-2.049	-1.199	-0.364	-2.534	-1.369	-2.939	-1.45	-2.065	-1.781	-3.661	-1.988	-2.466	-2.024	-0.807	-0.969	-2.119	-4.008	-1.673	-2.462	-0.811	-3.049
hsa-mir-590	-0.994	0.05	0.195	-0.556	0.683	-0.467	-0.528	-0.68	-0.973	0.198	-0.706	-1.136	-0.28	0.343	0.244	0.2	0.197	-0.016	-0.9	0.391	1.645	0.747	0.384	1.367	-1.444	-0.498	0.91	-0.135	-0.45	1.091	0.472	0.122	0.197	0.207	-1.717	1.504	-0.864	-0.113	0.391	-0.601	0.284	0.104	-2.089	0.197	-0.269	-1.496	0.183	-0.595	0.256	0.518	-0.539	-1.348	-2.006	0.435	-1.16	0.03	-0.947
hsa-mir-25	2.412	2.504	4.789	3.723	3.162	3.258	3.287	2.136	1.915	3.665	2.896	3.349	3.27	3.329	2.998	3.424	3.398	4.037	3.561	4.348	4.759	5.688	4.492	4.283	1.502	3.438	4.343	3.36	3.342	3.308	3.102	2.104	3.261	2.734	1.835	3.724	2.012	2.912	3.459	2.977	3.649	2.856	3.448	4.036	2.757	2.185	1.988	2.78	3.666	2.919	3.265	2.511	1.438	3.009	2.231	3.652	2.087
hsa-mir-93	-3.802	-4.41	-2.974	-3.529	-3.412	-3.639	-3.093	-3.862	-4.306	-3.405	-3.202	-3.647	-3.6	-3.398	-3.427	-3.75	-3.609	-2.984	-3.068	-2.58	-1.38	-1.633	-2.905	-2.26	-4.257	-3.583	-3.345	-3.673	-2.607	-3.213	-3.36	-4.655	-2.891	-4.328	-4.374	-3.916	-4.285	-3.176	-3.494	-3.497	-3.606	-3.96	-3.07	-3.344	-3.785	-3.661	-3.045	-4.34	-3.366	-3.624	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-mir-106b	-3.802	-4.41	-2.916	-3.529	-3.412	-3.396	-3.093	-3.862	-4.306	-3.698	-3.202	-3.647	-3.615	-3.398	-3.255	-3.99	-3.687	-3.226	-2.258	-2.37	-1.38	-2.22	-2.905	-2.26	-4.257	-3.368	-3.345	-3.673	-2.607	-3.213	-3.36	-4.655	-2.891	-4.328	-4.374	-3.916	-4.285	-3.176	-3.782	-3.497	-3.606	-3.914	-3.07	-3.454	-3.785	-3.661	-3.045	-4.34	-3.366	-3.624	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-mir-129-1	-3.802	-4.41	-4.002	-3.529	-3.412	-3.639	-3.093	-3.106	-3.66	-3.698	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-3.545	-0.074	-1.379	-3.201	-2.905	-2.26	-4.242	-3.98	-3.345	-3.673	-2.607	-3.185	-3.36	-4.642	-2.891	-4.328	-4.374	-3.916	-3.161	-3.176	-3.46	-3.497	-2.407	-4.028	-3.07	-3.013	-3.785	-3.661	-3.045	-2.919	-3.366	-3.624	-2.894	-3.826	-4.39	-3.496	-4.53	-3.162	-3.998
hsa-mir-182	-3.802	-4.41	-3.985	-3.529	-3.412	-3.639	-3.093	-3.862	-4.306	-3.698	-3.077	-3.647	-3.615	-3.398	-3.453	-3.61	-3.687	-3.298	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.98	-3.345	-3.673	-2.607	-3.213	-3.36	-4.655	-2.891	-4.328	-4.374	-3.4	-4.285	-3.176	-3.18	-3.497	-3.606	-3.875	-3.07	-3.335	-3.785	-3.661	-3.045	-4.116	-3.236	-3.624	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-mir-96	0.508	0.772	2.921	1.843	2.16	-0.466	1.298	-0.91	0.754	2.164	2.483	1.338	1.77	1.982	2.067	2.26	1.88	2.506	-3.377	-3.167	2.425	2.926	1.45	1.697	-0.821	-0.895	-0.991	-3.019	0.208	0.021	-3.332	-1.302	2.197	1.691	1	3.586	1.709	0.15	3.677	1.397	2.15	1.364	1.448	3.327	1.068	1.495	1.483	2.043	4.117	2.516	3.035	1.233	0.046	1.52	-0.104	3.031	1.252
hsa-mir-183	-3.645	-4.41	-2.452	-3.529	-3.124	-3.639	-3.093	-3.862	-4.306	-3.379	-2.197	-3.647	-3.615	-2.423	-3.16	-2.277	-3.586	-2.346	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.98	-3.345	-3.673	-2.607	-3.213	-3.36	-4.655	-2.891	-4.093	-3.875	-1.59	-4.285	-3.176	-1.875	-3.497	-3.606	-3.048	-2.899	-2.053	-3.785	-3.021	-3.045	-2.958	-1.403	-3.218	-2.538	-3.881	-4.309	-3.496	-4.549	-2.697	-3.984
hsa-mir-335	-2.642	-3.032	-0.133	-1.339	-3.412	1.394	-3.093	-3.862	-4.306	-0.122	-0.121	-1.426	-0.518	-2.555	-1.766	-1.658	-1.284	0.036	-3.545	-3.053	-1.38	-3.201	-1.655	-2.26	-4.257	-3.98	-3.345	-3.673	-2.607	-3.213	-3.36	-4.655	-1.953	-1.988	0.557	-1.98	-4.285	-3.176	-3.903	-0.667	-0.565	-1.565	-0.314	-1.148	-2.929	-0.724	-3.045	-1	-1.658	-3.624	-2.894	-3.962	-4.513	-3.496	1.584	-2.936	-2.112
hsa-mir-29a	4.706	4.812	2.326	6.99	1.336	5.526	5.552	4.202	4.121	4.926	4.394	4.827	5.62	5.184	5.302	5.077	5.437	5.097	1.767	3.225	2.102	3.598	4.894	5.49	5.834	4.805	6.895	6.388	6.965	6.518	6.399	3.831	5.346	4.056	4.55	5.547	3.274	3.898	2.82	5.835	7.512	2.324	2.376	4.71	5.783	6.253	4.715	5.629	5.747	4.3	5.503	5.758	4.414	5.043	5.111	6.344	5.169
hsa-mir-29b-1	3.815	3.276	2.292	6.461	3.471	4.831	4.581	1.8	2.104	3.897	3.739	4.523	5.077	5.151	5.205	4.636	4.789	4.97	1.849	3.054	1.35	2.565	4.244	4.042	5.83	4.524	6.234	5.42	6.125	5.756	5.84	3.602	4.825	3.483	3.809	4.864	3.037	3.933	2.455	5.023	6.561	2.2	-0.952	3.662	5.189	5.977	3.471	5.644	4.532	3.257	4.375	5.704	4.07	3.644	5.228	5.405	5.206
hsa-mir-671	-0.674	-4.095	-3.416	-2.536	-3.412	-2.183	-2.363	-3.336	-3.057	-3.191	-2.57	-2.672	-2.05	-2.78	-2.812	-3.309	-2.696	-2.618	0.571	-2.011	-1.38	-3.17	-1.408	-1.268	-1.777	-2.194	-3.239	-3.673	-2.607	-3.077	-3.117	-2.123	-2.891	-3.242	-2.982	-3.916	-4.285	-2.437	-3.903	-3.374	-2.91	-2.473	-3.07	-3.454	-3.737	-1.752	-3.045	-2.396	-3.325	-3.624	-2.894	-1.715	-3.239	-3.303	-2.711	-3.162	-2.496
hsa-mir-153-2	-3.802	-4.41	-4.002	-3.529	-3.412	-3.639	-3.093	-3.862	-4.098	-2.686	-3.202	-2.171	-3.615	-2.154	-3.453	-4.116	-3.687	-0.546	-0.598	-3.167	-1.38	0.793	-2.905	-1.772	-4.257	-3.98	-3.345	-3.673	-2.607	-3.213	-3.36	-4.655	-2.891	-4.328	-4.374	-1.902	-4.285	-2.642	-3.903	-3.497	-3.606	-4.028	-3.07	-3.454	-3.785	-1.434	-3.045	-4.34	-2.322	-3.624	-2.894	-3.962	-4.513	-3.496	-3.271	-3.162	-3.998
hsa-mir-598	-3.802	-3.075	-4.002	-1.677	-3.412	-2.899	-3.093	-2.111	-1.308	-2.645	-3.202	-3.368	-3.147	-3.398	-3.453	-1.46	-3.687	-4.388	-3.545	-3.167	-1.38	-3.201	-2.591	-2.26	-4.257	-3.98	-2.879	-3.673	-2.607	-3.213	-3.27	-2.949	-2.891	-4.328	-2.578	-3.014	-4.285	-3.176	-3.449	-3.347	-3.606	-4.028	-2.918	-3.278	-3.785	-3.661	-1.708	-4.34	-1.905	-3.167	-2.894	-3.962	-4.513	-2.298	-4.549	-3.162	-3.998
hsa-mir-486	-3.802	-4.246	-4.002	-3.529	-3.412	-3.639	-3.093	-3.862	-4.285	-3.666	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-3.545	-3.167	1.389	-3.201	-2.905	-2.26	-4.257	-3.98	-3.345	-3.673	-2.607	-3.213	-3.36	-4.655	-2.891	-4.328	-4.374	-2.658	-4.285	-3.176	-3.903	-3.497	-3.606	-0.09	-3.07	-3.454	-3.785	-3.661	-3.045	-4.34	-3.366	-3.624	-2.894	-3.962	-4.513	-3.496	-3.393	-3.162	-3.998
hsa-mir-30b	-3.802	-4.41	-4.002	-3.529	-3.412	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-3.647	-3.615	-3.398	-3.453	-3.653	-2.736	-4.388	-3.458	-3.167	-1.38	-3.024	-2.905	-2.26	-4.257	-3.42	-3.246	-3.66	-2.607	-1.946	-3.318	-4.193	-2.891	-4.328	-4.374	-3.101	-4.285	-3.176	-3.903	-3.497	-3.568	-4.028	-3.07	-3.423	-3.785	-3.661	-3.045	-4.34	-3.332	-3.624	-2.894	-3.962	-4.46	-3.34	-4.549	-3.162	-3.998
hsa-mir-30d	-3.802	-4.41	-4.002	-3.529	-3.412	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-3.647	-3.615	-3.398	-3.453	-3.997	-3.188	-4.388	-3.545	-3.167	-1.38	-3.136	-2.905	-2.26	-4.257	-3.68	-3.345	-3.673	-2.607	-2.772	-3.36	-4.298	-2.891	-4.328	-4.374	-3.45	-4.285	-3.176	-3.903	-3.497	-3.606	-4.028	-3.07	-3.454	-3.785	-3.661	-3.045	-4.34	-3.366	-3.624	-2.894	-3.962	-4.388	-3.496	-4.549	-3.162	-3.998
hsa-mir-151	0.022	0.406	0.21	0.651	0.291	0.534	-0.093	-0.098	-0.786	-0.044	-0.587	-0.16	-0.456	0.586	-0.18	1.687	0.253	-0.916	-3.545	-3.167	-0.173	-3.201	-2.905	-2.26	0.299	-0.347	-0.137	-0.112	-0.089	0.344	-0.254	-0.626	0.718	-0.26	0.251	1.752	1.46	-0.243	0.039	0.883	-0.048	-0.089	-0.099	1.012	0.62	0.731	0.873	-0.084	0.761	0.745	0.162	-0.377	0.837	0.691	0.37	0.539	0.138
hsa-mir-939	0.689	-1.064	-0.867	0.519	-0.469	1.097	1.022	-0.579	-0.492	0.422	1.116	-0.258	0.343	-0.071	0.088	-0.822	-0.097	0.537	1.696	1.115	2.229	0.256	1.245	2.087	0.747	1.087	0.919	0.589	0.359	0.931	0.825	0.057	-0.004	-1.226	0.029	-1.26	-2.33	0.397	-0.036	-0.861	0.085	-0.116	0.71	1.037	0.817	1.044	1.445	0.009	1.163	0.817	1.441	1.275	-0.36	1.009	0.633	1.454	0.536
hsa-mir-1234	-1.653	-3.103	-2.443	-2.249	-1.578	-1.252	-1.06	-2.367	-3.114	-2.252	-0.809	-2.176	-1.523	-1.176	-1.594	-3.026	-2.114	-2.351	-0.875	-1.034	-0.85	-2.332	-1.54	-1.36	-0.899	-1.642	-2.235	-2.657	-1.809	-1.537	-2.469	-2.19	-1.642	-2.696	-2.253	-2.742	-3.054	-0.706	-3.161	-2.006	-2.038	-1.833	-2.034	-2.282	-3.519	-1.286	-1.787	-2.321	-1.571	-2.701	-1.887	-1.13	-2.004	-2.756	-2.157	-1.785	-1.474
hsa-mir-101-2	-0.225	-1.469	0.46	-0.577	1.189	-1.44	-0.734	-0.155	-1.007	-0.327	-0.451	0.028	0.001	0.023	-0.038	0.05	0.012	0.048	-0.86	1.884	0.481	1.01	0.535	0.365	0.408	-0.151	-0.088	0.425	-0.3	-0.082	-0.413	-0.337	0.422	-1.238	-1.374	0.008	-0.464	-0.554	-0.471	0.318	-0.587	-0.129	-0.83	-0.257	-0.226	-0.501	-0.536	-0.549	1.036	-0.407	-1.407	-0.902	-0.728	-1.111	-0.868	-0.411	-0.769
hsa-mir-31	0.296	0.397	-4.002	-3.529	-3.412	-3.639	1.984	0.766	-0.992	-0.237	0.962	0.367	-3.615	3.372	0	2.645	2.609	-1.939	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	1.957	-2.451	-3.345	-3.442	-1.18	-3.213	-3.36	-4.655	3.462	0.332	-1.884	0.016	-4.285	0.666	2.957	3.201	1.614	-3.945	3.387	-0.417	1.376	-0.408	3.162	2.069	2.268	0.779	0.885	-3.962	1.253	0.073	-2.767	1.465	1.69
