MirBase Name	BR:BT_549	BR:HS578T	BR:MCF7	BR:MDA_MB_231	BR:T47D	CNS:SF_268	CNS:SF_295	CNS:SF_539	CNS:SNB_19	CNS:SNB_75	CNS:U251	CO:COLO205	CO:HCC_2998	CO:HCT_116	CO:HCT_15	CO:HT29	CO:KM12	CO:SW_620	LE:CCRF_CEM	LE:HL_60	LE:K_562	LE:MOLT_4	LE:RPMI_8226	LE:SR	ME:LOXIMVI	ME:M14	ME:MALME_3M	ME:SK_MEL_2	ME:SK_MEL_28	ME:SK_MEL_5	ME:UACC_257	ME:UACC_62	LC:A549	LC:EKVX	LC:NCI_H226	LC:NCI_H23	LC:NCI_H322M	LC:NCI_H460	LC:NCI_H522	LC:HOP_62	LC:HOP_92	OV:IGROV1	OV:OVCAR_3	OV:OVCAR_4	OV:OVCAR_5	OV:OVCAR_8	OV:SK_OV_3	PR:DU_145	PR:PC_3	RE:786_0	RE:A498	RE:ACHN	RE:CAKI_1	RE:RXF_393	RE:SN12C	RE:TK_10	RE:UO_31
hsa-mir-197	-0.407	-0.343	-0.097	0.418	0.55	-0.493	-0.251	-0.284	-0.696	-0.181	-0.404	-0.59	-0.38	-0.217	-0.541	-0.717	-0.922	-0.716	-0.42	0.331	2.25	0.144	0.096	0.52	-0.955	-0.703	0.074	1.316	1.028	0.377	0.124	-0.872	-0.053	-0.169	-0.986	0.845	-0.118	-0.312	0.38	-0.455	0.155	-1.119	0.438	1.094	-0.134	0.219	0.877	-1.292	0.71	1.324	0.464	0.001	-0.948	0.916	-1.117	0.401	-1.224
hsa-mir-92b	-3.259	-4.41	-3.816	-3.529	-3.407	-3.639	-3.093	-3.862	-4.306	-1.948	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.98	-3.345	-3.673	-2.607	-3.213	-3.36	-4.655	-2.891	-4.104	-4.374	-3.916	-4.285	-3.176	-2.859	-3.497	-3.606	-4.028	-3.07	-3.454	-3.785	-3.661	-3.045	-4.233	-3.366	-3.624	-2.894	-3.962	-3.997	-3.496	-4.224	-3.162	-3.998
hsa-mir-9-1	-3.802	-4.41	-3.082	-3.529	-3.412	-1.032	2.881	-3.862	-1.942	4.445	2.409	-3.647	0.074	-0.607	-3.453	-4.116	-3.687	0.004	-1.147	-2.224	-1.38	-2.946	-1.892	-0.96	-4.257	-1.011	-3.345	0.111	-0.83	-1.422	-0.591	-3.025	-2.891	-2.484	-4.374	-1.269	2.93	0.103	-1.234	-3.164	-3.606	-4.028	-3.07	-3.454	-3.785	-0.985	-3.045	-3.019	0.991	-2.512	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-mir-765	-1.355	-4.161	-3.894	-3.488	-3.317	-2.606	-2.371	-3.561	-4.095	-3.341	-3.005	-3.14	-2.907	-3.256	-3.122	-3.897	-3.687	-2.483	0.3	-1.877	-1.38	-3.145	-0.891	-1.281	-2.298	-2.541	-3.345	-3.673	-2.607	-3.213	-3.36	-2.309	-2.891	-3.448	-2.969	-3.916	-4.285	-1.622	-3.903	-3.477	-3.15	-2.691	-3.07	-3.454	-3.785	-1.604	-3.045	-2.652	-3.366	-3.624	-2.894	-1.997	-3.61	-3.344	-2.52	-3.162	-2.782
hsa-mir-557	-2.937	-4.41	-4.002	-3.529	-3.412	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-2.166	-3.167	-1.106	-3.201	-1.744	-2.26	-2.894	-3.98	-3.345	-3.673	-2.607	-3.038	-3.36	-3.39	-2.891	-4.328	-4.374	-3.916	-4.285	-3.176	-3.634	-3.497	-3.606	-4.028	-3.07	-3.447	-3.785	-3.62	-3.045	-4.252	-3.366	-3.578	-2.894	-3.07	-4.133	-3.496	-4.294	-3.162	-3.998
hsa-mir-181b-1	-0.887	0.83	2.06	1.749	1.66	0.904	1.302	1.249	0.963	2.105	1.465	0.262	-1.253	-0.969	-1.889	0.39	0.258	0.679	3.921	3.596	-0.654	3.51	-0.735	0.91	1.119	1.034	0.865	2.309	1.058	0.442	1.175	1.127	-0.7	0.836	1.414	0.632	1.909	-0.24	0.963	1.476	1.044	-2.266	0.191	0.069	0.24	0.632	1.359	0.224	0.148	0.746	0.682	1.805	1.672	0.865	0.768	0.811	1.612
hsa-mir-181a-1	-3.802	-1.812	-1.452	-0.767	-2.594	-2.532	-1.274	-2.197	-1.979	-1.544	-1.512	-3.506	-3.615	-2.883	-3.453	-2.042	-2.306	-2.276	1.81	0.908	-1.38	1.561	-2.905	-1.615	-1.485	-1.276	-3.345	-1.349	-2.607	-3.213	-3.349	-1.7	-2.891	-2.995	-2.759	-2.996	-1.608	-3.066	-3.903	-1.185	-1.033	-4.028	-3.07	-3.454	-3.3	-3.661	-2.264	-3.868	-3.366	-2.91	-2.873	-1.595	-0.593	-2.687	-4.025	-1.742	-1.725
hsa-mir-135b	2.147	-2.982	1.718	-0.574	-3.412	-3.639	-0.006	-3.051	0.649	1.786	2.699	3.281	2.171	1.15	-1.647	-0.095	-0.443	2.027	-3.545	-3.167	-0.409	-3.201	-2.905	3.352	-2.238	0.589	0.155	-0.881	-2.384	-0.081	-0.772	-0.374	-2.891	-1.756	0.684	-3.916	2.557	-3.091	-3.903	-1.959	0.697	2.733	0.038	2.03	1.215	-1.119	0.256	0.945	-1.951	-0.7	-0.263	-0.525	0.213	-1.973	-1.04	-0.42	-0.718
hsa-mir-29c	1.601	1.639	1.65	4.046	4.115	2.816	2.652	1.394	1.698	2.797	2.277	3.348	2.777	2.5	2.76	2.357	2.415	3.009	3.721	3.517	1.09	5.398	4.304	4.589	3.626	2.735	2.791	1.918	2.097	1.986	1.784	1.832	2.985	2.41	2.669	2.055	1.449	2.895	1.269	2.753	4.045	1.052	0.038	0.833	2.444	3.947	2.611	4.09	3.031	1.483	2.85	4.231	3.176	2.112	3.774	2.738	3.853
hsa-mir-29b-2	3.815	3.276	2.292	6.461	3.471	4.831	4.581	1.8	2.104	3.897	3.739	4.523	5.077	5.151	5.205	4.636	4.789	4.97	1.849	3.054	1.35	2.565	4.244	4.042	5.83	4.524	6.234	5.42	6.125	5.756	5.84	3.602	4.825	3.483	3.809	4.864	3.037	3.933	2.455	5.023	6.561	2.2	-0.952	3.662	5.189	5.977	3.471	5.644	4.532	3.257	4.375	5.704	4.07	3.644	5.228	5.405	5.206
hsa-mir-205	-3.802	-4.41	-0.595	-3.529	3.307	-3.639	-3.093	-3.862	-4.306	-1.505	-3.202	-3.647	-3.615	-3.398	-3.453	4.103	-3.687	-4.388	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.98	-3.345	-3.673	-2.607	-3.213	-3.36	-4.655	-2.891	-4.328	-4.374	-3.916	5.805	-3.176	-3.903	-3.497	-3.606	-4.028	0.137	-0.283	-3.785	-3.661	-3.045	-4.34	-3.366	-3.624	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-mir-215	-3.802	-4.41	-3.301	-3.065	-2.093	-3.639	-2.152	-3.862	-4.306	-3.698	-3.202	4.046	4.284	-3.398	-1.938	2.249	4.522	1.988	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-3.616	-2.555	-3.345	-3.673	-2.607	-3.213	-3.36	-4.452	-0.728	-3.827	-2.842	-3.584	-4.285	-2.931	-3.678	-3.104	-2.914	-2.404	-3.07	-3.454	-0.016	-3.251	-3.045	-2.044	-3.366	-3.624	-2.894	0.045	-3.038	-3.496	-4.549	-0.999	-3.172
hsa-mir-194-1	-3.802	-4.41	-2.365	-2.945	-1.502	-3.639	-2.132	-3.862	-4.253	-3.698	-3.202	4.762	4.655	-3.398	-1.542	3.244	4.905	2.195	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-4.052	-2.391	-3.345	-3.673	-2.607	-3.213	-3.36	-4.162	-0.536	-3.502	-1.985	-3.211	-4.208	-3.176	-3.292	-2.751	-2.575	-2.332	-3.07	-3.454	0.986	-3.057	-3.006	-2.21	-2.884	-3.624	-2.894	-0.128	-3.141	-3.496	-4.549	-0.056	-3.149
hsa-mir-128-1	-0.935	-0.051	1.051	0.095	0.738	-0.48	-0.406	0.113	-0.413	0.686	0.152	-0.155	0.861	0.636	0.52	-0.078	0.841	0.723	3.89	1.352	0.948	4.838	1.291	0.77	-0.448	-0.415	1.307	-0.823	0.654	0.155	0.591	0.929	0.212	0.441	0.4	1.495	0.898	-0.486	0.574	0.32	-0.308	0.652	0.872	0.955	0.354	-0.137	0.892	0.338	1.111	0.173	-0.769	-0.626	-1.15	0.627	-0.081	-0.267	-0.784
hsa-mir-933	-3.802	-4.41	-4.002	-3.529	-3.412	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-3.383	-3.167	-1.38	-3.201	-2.905	-2.26	-4.031	-3.857	-3.345	-3.673	-2.607	-3.213	-3.36	-4.379	-2.891	-4.328	-4.374	-3.916	-4.285	-3.176	-3.903	-3.497	-3.606	-3.984	-3.07	-3.454	-3.785	-3.661	-3.045	-4.166	-3.366	-3.624	-2.894	-3.408	-4.293	-3.496	-4.274	-3.162	-3.949
hsa-mir-10b	-1.885	-4.41	-4.002	-2.377	-2.786	0.664	0.398	1.03	0.877	1.707	0.922	-1.447	-0.077	-1.094	2.176	0.796	1.338	0.083	-3.545	-3.167	-1.322	-3.201	-2.905	-2.26	-2.245	0.148	0.639	-0.408	0.265	-0.177	0.7	0.322	-1.651	-0.174	-3.002	-2.191	-3.959	-3.176	-0.211	-0.099	-3.606	3.326	1.629	-2.514	-2.313	-2.653	2.981	-0.994	0.11	-0.204	0.722	0.947	0.74	-0.213	2.754	-3.162	-0.221
hsa-mir-26b	0.244	1.525	3.016	1.912	2.966	1.628	1.125	1.592	1.282	1.947	1.201	2.597	2.496	1.606	2.791	2.378	2.257	2.404	2.937	3.773	1.419	2.078	1.725	1.673	1.883	2.087	1.577	1.236	1.528	0.519	1.346	1.188	1.466	2.25	0.628	3.718	3.009	0.91	2.857	2.441	1.402	2.35	0.819	1.758	1.782	1.553	2.162	1.802	2.551	0.332	0.482	1.474	0.866	0.368	2.481	1.328	0.715
hsa-mir-375	-3.802	-4.41	2.349	-3.529	1.958	-3.639	-3.093	-3.862	-4.306	-3.698	-3.202	-2.443	-1.864	-3.235	0.851	-0.32	-2.192	2.61	-3.545	-3.167	-1.38	-3.201	-2.905	-2.26	-4.257	-3.98	-3.345	-3.673	-2.607	-3.213	-3.36	-4.655	-2.891	-2.135	-4.374	-3.721	-4.285	-3.176	-3.903	-3.497	-3.606	-4.028	-3.07	-3.454	-3.785	-3.661	-3.006	-4.34	-1.66	-3.624	-2.894	-3.962	-4.513	-3.496	-4.549	-3.162	-3.998
hsa-mir-153-1	-3.802	-4.41	-4.002	-3.529	-3.412	-3.639	-3.093	-3.862	-4.098	-2.686	-3.202	-2.171	-3.615	-2.154	-3.453	-4.116	-3.687	-0.546	-0.598	-3.167	-1.38	0.793	-2.905	-1.772	-4.257	-3.98	-3.345	-3.673	-2.607	-3.213	-3.36	-4.655	-2.891	-4.328	-4.374	-1.902	-4.285	-2.642	-3.903	-3.497	-3.606	-4.028	-3.07	-3.454	-3.785	-1.434	-3.045	-4.34	-2.322	-3.624	-2.894	-3.962	-4.513	-3.496	-3.271	-3.162	-3.998
hsa-mir-149	-2.554	-1.91	-2.166	-2.017	1.472	-0.316	-1.178	-1.942	-1.883	-0.029	-1.477	-3.647	-3.615	-0.575	-0.712	-2.788	-3.674	-1.093	-3.545	-3.167	-0.904	-3.201	-1.872	-2.26	-4.257	-3.131	-3.345	-3.353	-2.607	-3.213	-3.346	-1.841	-1.226	-1.099	-0.364	-1.876	0.42	0.323	0.715	0.12	-1.12	-0.138	-0.422	-0.168	-0.454	-0.604	-0.653	-1.598	-1.729	-1.935	-1.055	-2.632	-3.319	-1.281	-0.182	-0.792	-2.41
hsa-mir-128-2	-0.935	-0.051	1.051	0.095	0.738	-0.48	-0.406	0.113	-0.413	0.686	0.152	-0.155	0.861	0.636	0.52	-0.078	0.841	0.723	3.89	1.352	0.948	4.838	1.291	0.77	-0.448	-0.415	1.307	-0.823	0.654	0.155	0.591	0.929	0.212	0.441	0.4	1.495	0.898	-0.486	0.574	0.32	-0.308	0.652	0.872	0.955	0.354	-0.137	0.892	0.338	1.111	0.173	-0.769	-0.626	-1.15	0.627	-0.081	-0.267	-0.784
hsa-mir-26a-1	1.709	1.725	2.894	2.805	3.797	2.508	2.212	1.92	2.07	2.138	1.3	1.756	1.638	1.645	3.021	2.174	1.485	2.509	2.092	3.024	1.13	1.838	2.26	-0.36	2.493	2.784	2.413	1.982	0.796	1.064	0.925	1.747	1.118	1.926	2.814	2.334	2.707	1.28	1.87	2.542	2.339	2.572	2.284	1.808	1.47	2.548	1.823	1.936	2.03	-0.116	0.579	2.302	1.866	0.6	3.268	1.287	2.362
hsa-mir-138-1	-3.802	-1.988	-4.002	-0.052	-3.412	-1.317	-3.093	-3.862	-2.747	-1.224	-2.64	-3.647	-3.615	-3.398	-3.453	-4.116	-3.687	-4.388	-3.545	-3.167	-1.38	-3.201	-2.098	-2.26	-4.216	-2.357	-3.345	-3.509	-2.607	-3.213	-3.36	-3.612	-1.216	-4.328	-4.374	-3.916	-3.906	-0.525	-3.903	-1.401	-3.606	-3.522	-3.07	-3.454	-3.785	-1.513	-3.045	-0.98	-3.366	-1.892	-2.894	-3.845	-1.802	-1.891	-2.867	-2.848	0.532
hsa-mir-1226	-1.727	-4.007	-3.569	-3.336	-3.337	-2.22	-1.596	-3.539	-4.153	-3.248	-2.016	-3.461	-2.48	-1.915	-2.129	-4.116	-3.687	-2.435	-1.025	-1.603	-1.38	-3.201	-1.945	-2.26	-1.083	-1.719	-3.345	-3.673	-2.607	-2.674	-3.36	-1.65	-2.891	-4.328	-2.385	-3.916	-4.285	-1.29	-3.903	-3.497	-3.606	-1.61	-3.07	-3.454	-3.785	-1.65	-3.045	-1.586	-3.366	-3.624	-2.894	-0.833	-1.761	-3.496	-1.714	-3.162	-1.235
